CID,IUPAC name,InChI,temp,group,pKa
C54251,"2-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,4-triazine-3,5-dione","InChI=1S/C8H11N3O6/c12-2-3-5(14)6(15)7(17-3)11-8(16)10-4(13)1-9-11/h1,3,5-7,12,14-15H,2H2,(H,10,13,16)",25,H27,6.6
C1927942,3-chloro-2-hydroxybenzaldehyde,"InChI=1S/C7H5ClO2/c8-6-3-1-2-5(4-9)7(6)10/h1-4,10H",25,H15,6.61
C1829818,N-(4-nitrophenyl)benzenesulfonamide,"InChI=1S/C12H10N2O4S/c15-14(16)11-8-6-10(7-9-11)13-19(17,18)12-4-2-1-3-5-12/h1-9,13H",23,H20,6.63
C3324150,"5,5-dimethyl-1,3-thiazolidine-2,4-dione","InChI=1S/C5H7NO2S/c1-5(2)3(7)6-4(8)9-5/h1-2H3,(H,6,7,8)",20,H16,6.64
C1192070,"1,2-oxazolidin-3-one","InChI=1S/C3H5NO2/c5-3-1-2-6-4-3/h1-2H2,(H,4,5)",,H11,6.7
C138999356,"naphthalene-1,8-diol","InChI=1S/C10H8O2/c11-8-5-1-3-7-4-2-6-9(12)10(7)8/h1-6,11-12H",20,H20,6.71
C31363787,"4H-pyrido[4,3-e][1,2,4]thiadiazine 1,1-dioxide","InChI=1S/C6H5N3O2S/c10-12(11)6-3-7-2-1-5(6)8-4-9-12/h1-4H,(H,8,9)",25,H13,6.71
C53894,4-benzyl-2-(1-methylpiperidin-4-yl)-5-phenyl-1H-pyrazol-3-one,"InChI=1S/C22H25N3O/c1-24-14-12-19(13-15-24)25-22(26)20(16-17-8-4-2-5-9-17)21(23-25)18-10-6-3-7-11-18/h2-11,19,26H,12-16H2,1H3",,H36,6.73
C15969081,2-methoxy-6-nitrophenol,"InChI=1S/C7H7NO4/c1-12-6-4-2-3-5(7(6)9)8(10)11/h2-4,9H,1H3",25,H19,6.74
C5456893,2-[(4-methylphenyl)diazenyl]propanedinitrile,"InChI=1S/C10H8N4/c1-8-2-4-9(5-3-8)13-14-10(6-11)7-12/h2-5,10H,1H3",25,H22,6.75
C10229035,"2-methyl-1,1-dinitropropane","InChI=1S/C4H8N2O4/c1-3(2)4(5(7)8)6(9)10/h3-4H,1-2H3",,H12,6.75
C696639,4-methoxybenzenethiol,"InChI=1S/C7H8OS/c1-8-6-2-4-7(9)5-3-6/h2-5,9H,1H3",25,H17,6.76
C1849543,3-hydroxypyridine-4-carbaldehyde,"InChI=1S/C6H5NO2/c8-4-5-1-2-7-3-6(5)9/h1-4,9H",20,H14,6.77
C622424,nitromethylbenzene,"InChI=1S/C7H7NO2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2",20,H12,6.77
C38543667,2-methyl-5-nitroquinolin-8-ol,"InChI=1S/C10H8N2O3/c1-6-2-3-7-8(12(14)15)4-5-9(13)10(7)11-6/h2-5,13H,1H3",20,H23,6.78
C284682275,pyrimidin-5-ol,"InChI=1S/C4H4N2O/c7-4-1-5-3-6-2-4/h1-3,7H",20,H11,6.78
C51288370,N-(4-hydroxy-3-nitrophenyl)acetamide,"InChI=1S/C8H8N2O4/c1-5(11)9-6-2-3-8(12)7(4-6)10(13)14/h2-4,12H,1H3,(H,9,11)",25,H22,6.78
C25511620,"2,6-dichlorophenol","InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",25,H13,6.8
C64887407,"3-(1,3-benzoxazol-2-yl)-7-hydroxychromen-2-one","InChI=1S/C16H9NO4/c18-10-6-5-9-7-11(16(19)21-14(9)8-10)15-17-12-3-1-2-4-13(12)20-15/h1-8,18H",22,H30,6.84
C533755,"2-hydroxycyclohepta-2,4,6-trien-1-one","InChI=1S/C7H6O2/c8-6-4-2-1-3-5-7(6)9/h1-5H,(H,8,9)",24,H15,6.87
C99170953,"3-ethyl-4H-1,2,4-thiadiazol-5-one","InChI=1S/C4H6N2OS/c1-2-3-5-4(7)8-6-3/h2H2,1H3,(H,5,6,7)",25,H11,6.89
C5456906,2-[(2-methylphenyl)diazenyl]propanedinitrile,"InChI=1S/C10H8N4/c1-8-4-2-3-5-10(8)14-13-9(6-11)7-12/h2-5,9H,1H3",25,H22,6.9
C57334379,4-aminoquinolin-8-ol,"InChI=1S/C9H8N2O/c10-7-4-5-11-9-6(7)2-1-3-8(9)12/h1-5,12H,(H2,10,11)",20,H20,6.91
C163136661,"4H-pyrido[3,2-e][1,2,4]thiadiazine 1,1-dioxide","InChI=1S/C6H5N3O2S/c10-12(11)6-5(8-4-9-12)2-1-3-7-6/h1-4H,(H,8,9)",25,H13,6.94
C1849554,3-hydroxypyridine-2-carbaldehyde,"InChI=1S/C6H5NO2/c8-4-5-6(9)2-1-3-7-5/h1-4,9H",20,H14,6.95
C38362902,1-methyl-3-(nitromethyl)benzene,"InChI=1S/C8H9NO2/c1-7-3-2-4-8(5-7)6-9(10)11/h2-5H,6H2,1H3",25,H14,6.97
C875238521,"4-amino-3-methyl-N-(1,3-thiazol-2-yl)benzenesulfonamide","InChI=1S/C10H11N3O2S2/c1-7-6-8(2-3-9(7)11)17(14,15)13-10-12-4-5-16-10/h2-6H,11H2,1H3,(H,12,13)",,H21,7.0
C16133269,pyridine-3-thiol,"InChI=1S/C5H5NS/c7-5-2-1-3-6-4-5/h1-4,7H",20,H12,7.01
C70661835,"4H-pyrido[2,3-e][1,2,4]thiadiazine 1,1-dioxide","InChI=1S/C6H5N3O2S/c10-12(11)5-2-1-3-7-6(5)8-4-9-12/h1-4H,(H,7,8,9)",25,H14,7.03
C97004358,4-(dimethylamino)quinolin-8-ol,"InChI=1S/C11H12N2O/c1-13(2)9-6-7-12-11-8(9)4-3-5-10(11)14/h3-7,14H,1-2H3",25,H26,7.05
C105872182,3-chloro-2-hydroxycyclopent-2-en-1-one,"InChI=1S/C5H5ClO2/c6-3-1-2-4(7)5(3)8/h8H,1-2H2",,H13,7.05
C96760519,"7-hydroxy-6-methyl-3H-furo[3,4-c]pyridin-1-one","InChI=1S/C8H7NO3/c1-4-7(10)6-5(2-9-4)3-12-8(6)11/h2,10H,3H2,1H3",,H19,7.05
C99536,2-methyl-4-nitrophenol,"InChI=1S/C7H7NO3/c1-5-4-6(8(10)11)2-3-7(5)9/h2-4,9H,1H3",25,H18,7.1
C107324,peroxyformic acid,"InChI=1S/CH2O3/c2-1-4-3/h1,3H",19.5,H6,7.1
C155919,"4-amino-N-(4,6-dimethoxypyrimidin-2-yl)benzenesulfonamide","InChI=1S/C12H14N4O4S/c1-19-10-7-11(20-2)15-12(14-10)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",,H22,7.12
C87186718,N-(3-cyanophenyl)benzenesulfonamide,"InChI=1S/C13H10N2O2S/c14-10-11-5-4-6-12(9-11)15-18(16,17)13-7-2-1-3-8-13/h1-9,15H",25,H19,7.15
C88755,2-nitrophenol,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",24,H15,7.15
C563973,1-bromo-1-nitroethane,"InChI=1S/C2H4BrNO2/c1-2(3)4(5)6/h2H,1H3",30,H7,7.17
C70965218,"5-(1,3-benzothiazol-2-yldiazenyl)quinolin-8-ol","InChI=1S/C16H10N4OS/c21-13-8-7-11(10-4-3-9-17-15(10)13)19-20-16-18-12-5-1-2-6-14(12)22-16/h1-9,21H",22,H32,7.2
C499445,"2-hydroxy-6-propan-2-ylcyclohepta-2,4,6-trien-1-one","InChI=1S/C10H12O2/c1-7(2)8-4-3-5-9(11)10(12)6-8/h3-7H,1-2H3,(H,11,12)",29,H24,7.22
C72140,"4-amino-N-(1,3-thiazol-2-yl)benzenesulfonamide","InChI=1S/C9H9N3O2S2/c10-7-1-3-8(4-2-7)16(13,14)12-9-11-5-6-15-9/h1-6H,10H2,(H,11,12)",20,H19,7.25
C583802,"2-hydroxy-6-methylcyclohepta-2,4,6-trien-1-one","InChI=1S/C8H8O2/c1-6-3-2-4-7(9)8(10)5-6/h2-5H,1H3,(H,9,10)",,H18,7.26
C19964977,N-bromobenzamide,"InChI=1S/C7H6BrNO/c8-9-7(10)6-4-2-1-3-5-6/h1-5H,(H,9,10)",21,H16,7.3
C93594,benzenecarboperoxoic acid,"InChI=1S/C7H6O3/c8-7(10-9)6-4-2-1-3-5-6/h1-5,9H",25,H16,7.3
C521744,"5,7-dibromoquinolin-8-ol","InChI=1S/C9H5Br2NO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H",25,H18,7.3
C69481421,2-hydroxybenzonitrile,"InChI=1S/C7H5NO/c8-5-6-3-1-2-4-7(6)9/h1-4,9H",25,H14,7.32
C4584650,"2-hydroxy-5-methylcyclohepta-2,4,6-trien-1-one","InChI=1S/C8H8O2/c1-6-2-4-7(9)8(10)5-3-6/h2-5H,1H3,(H,9,10)",25,H18,7.32
C5735411,"1-hydroxy-3H-2,1-benzoxaborole","InChI=1S/C7H7BO2/c9-8-7-4-2-1-3-6(7)5-10-8/h1-4,9H,5H2",25,H17,7.38
C121335,4-hydroxy-3-methoxybenzaldehyde,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",25,H19,7.38
C29982783,"5-benzylsulfinyl-1H-1,2,4-triazole","InChI=1S/C9H9N3OS/c13-14(9-10-7-11-12-9)6-8-4-2-1-3-5-8/h1-5,7H,6H2,(H,10,11,12)",23,H22,7.38
C1568703,4-methoxy-2-nitrophenol,"InChI=1S/C7H7NO4/c1-12-5-2-3-7(9)6(4-5)8(10)11/h2-4,9H,1H3",25,H19,7.39
C7214611,1-nitroethylbenzene,"InChI=1S/C8H9NO2/c1-7(9(10)11)8-5-3-2-4-6-8/h2-7H,1H3",25,H12,7.39
C1136567,fluoren-9-ylidenemethanol,"InChI=1S/C14H10O/c15-9-14-12-7-3-1-5-10(12)11-6-2-4-8-13(11)14/h1-9,15H",25,H25,7.4
C33320273,"cyclopenta-1,3-diene-1-carbaldehyde","InChI=1S/C6H6O/c7-5-6-3-1-2-4-6/h1-3,5H,4H2",30,H9,7.4
C17691611,5-bromo-2-hydroxybenzaldehyde,"InChI=1S/C7H5BrO2/c8-6-1-2-7(10)5(3-6)4-9/h1-4,10H",25,H15,7.4
C68137086,4-methyl-2-nitrophenol,"InChI=1S/C7H7NO3/c1-5-2-3-7(9)6(4-5)8(10)11/h2-4,9H,1H3",25,H18,7.4
C100949040,cinnolin-5-ol,"InChI=1S/C8H6N2O/c11-8-3-1-2-7-6(8)4-5-9-10-7/h1-5,11H",20,H17,7.4
C1576449,4-nitro-N-phenylbenzenesulfonamide,"InChI=1S/C12H10N2O4S/c15-14(16)11-6-8-12(9-7-11)19(17,18)13-10-4-2-1-3-5-10/h1-9,13H",20,H20,7.41
C4190958,phenazin-2-ol,"InChI=1S/C12H8N2O/c15-8-5-6-11-12(7-8)14-10-4-2-1-3-9(10)13-11/h1-7,15H",30,H23,7.45
C134998439,"3,4-dihydroxybenzaldehyde","InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H",25,H16,7.45
C4343753,"4-amino-1H-1,2,4-triazole-5-thione","InChI=1S/C2H4N4S/c3-6-1-4-5-2(6)7/h1H,3H2,(H,5,7)",30,H9,7.47
C515640,"4-amino-N-(2,6-dimethylpyrimidin-4-yl)benzenesulfonamide","InChI=1S/C12H14N4O2S/c1-8-7-12(15-9(2)14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",20,H20,7.49
C52741932,3-chloro-2-(diethylaminomethyl)phenol,"InChI=1S/C11H16ClNO/c1-3-13(4-2)8-9-10(12)6-5-7-11(9)14/h5-7,14H,3-4,8H2,1-2H3",25,H30,7.5
C28791266,3-nitro-N-phenylbenzenesulfonamide,"InChI=1S/C12H10N2O4S/c15-14(16)11-7-4-8-12(9-11)19(17,18)13-10-5-2-1-3-6-10/h1-9,13H",20,H20,7.5
C14704417,"3,5-bis(trifluoromethyl)-1H-pyrazole","InChI=1S/C5H2F6N2/c6-4(7,8)2-1-3(13-12-2)5(9,10)11/h1H,(H,12,13)",25,H15,7.51
C773762,"5,7-dichloroquinolin-8-ol","InChI=1S/C9H5Cl2NO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H",25,H18,7.51
C100949051,cinnolin-6-ol,"InChI=1S/C8H6N2O/c11-7-1-2-8-6(5-7)3-4-9-10-8/h1-5,11H",20,H17,7.52
C123080,4-hydroxybenzaldehyde,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",23,H15,7.53
C54129145,N-(3-fluorophenyl)benzenesulfonamide,"InChI=1S/C12H10FNO2S/c13-10-5-4-6-11(9-10)14-17(15,16)12-7-2-1-3-8-12/h1-9,14H",25,H18,7.54
C34310297,"1,1,1-trifluoro-N-methylmethanesulfonamide","InChI=1S/C2H4F3NO2S/c1-6-9(7,8)2(3,4)5/h6H,1H3",25,H10,7.56
C100949062,cinnolin-7-ol,"InChI=1S/C8H6N2O/c11-7-2-1-6-3-4-9-10-8(6)5-7/h1-5,11H",20,H17,7.56
C164124123,"3-methyl-4H-pyrido[3,2-e][1,2,4]thiadiazine 1,1-dioxide","InChI=1S/C7H7N3O2S/c1-5-9-6-3-2-4-8-7(6)13(11,12)10-5/h2-4H,1H3,(H,9,10)",25,H14,7.58
C42313791,4-bromo-2-[(dimethylamino)methyl]phenol,"InChI=1S/C9H12BrNO/c1-11(2)6-7-5-8(10)3-4-9(7)12/h3-5,12H,6H2,1-2H3",25,H24,7.58
C147933,2-sulfanylbenzoic acid,"InChI=1S/C7H6O2S/c8-7(9)5-3-1-2-4-6(5)10/h1-4,10H,(H,8,9)",25,H16,7.6
C38362899,1-methyl-2-(nitromethyl)benzene,"InChI=1S/C8H9NO2/c1-7-4-2-3-5-8(7)6-9(10)11/h2-5H,6H2,1H3",25,H13,7.6
C2805881,N-[3-(trifluoromethyl)phenyl]benzenesulfonamide,"InChI=1S/C13H10F3NO2S/c14-13(15,16)10-5-4-6-11(9-10)17-20(18,19)12-7-2-1-3-8-12/h1-9,17H",25,H21,7.63
C2581342,3-methyl-4-nitrophenol,"InChI=1S/C7H7NO3/c1-5-4-6(9)2-3-7(5)8(10)11/h2-4,9H,1H3",20,H18,7.65
C61670153,"1,1-dioxo-1-benzothiophen-3-ol","InChI=1S/C8H6O3S/c9-7-5-12(10,11)8-4-2-1-3-6(7)8/h1-5,9H",20,H18,7.65
C108021,2-(dimethylamino)ethanethiol,"InChI=1S/C4H11NS/c1-5(2)3-4-6/h6H,3-4H2,1-2H3",23,H17,7.68
C609198,"3,4,5-trichlorophenol","InChI=1S/C6H3Cl3O/c7-4-1-3(10)2-5(8)6(4)9/h1-2,10H",25,H13,7.7
C1185742204,5-chloro-2H-benzotriazole,"InChI=1S/C6H4ClN3/c7-4-1-2-5-6(3-4)9-10-8-5/h1-3H,(H,8,9,10)",,H14,7.7
C7132674,9-aminoacridin-2-ol,"InChI=1S/C13H10N2O/c14-13-9-3-1-2-4-11(9)15-12-6-5-8(16)7-10(12)13/h1-7,16H,(H2,14,15)",20,H26,7.71
C25167811,"2,3-dichlorophenol","InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(9)6(4)8/h1-3,9H",25,H13,7.71
C20815661,4-(pyridin-4-yldiazenyl)phenol,"InChI=1S/C11H9N3O/c15-11-3-1-9(2-4-11)13-14-10-5-7-12-8-6-10/h1-8,15H",25,H24,7.73
C23658664,8-methoxy-7H-purine,"InChI=1S/C6H6N4O/c1-11-6-9-4-2-7-3-8-5(4)10-6/h2-3H,1H3,(H,7,8,9,10)",,H12,7.73
C133762831,6-chloro-7H-purine,"InChI=1S/C5H3ClN4/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H,7,8,9,10)",20,H11,7.75
C5842080,2-(dibutylamino)ethanethiol,"InChI=1S/C10H23NS/c1-3-5-7-11(9-10-12)8-6-4-2/h12H,3-10H2,1-2H3",25,H35,7.76
C112328048,1-nitroso-1H-naphthalen-2-one,"InChI=1S/C10H7NO2/c12-9-6-5-7-3-1-2-4-8(7)10(9)11-13/h1-6,10H",25,H14,7.77
C16468976,N-(4-bromophenyl)benzenesulfonamide,"InChI=1S/C12H10BrNO2S/c13-10-6-8-11(9-7-10)14-17(15,16)12-4-2-1-3-5-12/h1-9,14H",25,H18,7.78
C79566135,7-hydroxy-4-methylchromen-2-one,"InChI=1S/C10H8O3/c1-6-4-10(12)13-9-5-7(11)2-3-8(6)9/h2-5,11H,1H3",25,H21,7.8
C120832,"2,4-dichlorophenol","InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",25,H13,7.8
C433170,"1,3-benzothiazole-2-sulfonamide","InChI=1S/C7H6N2O2S2/c8-13(10,11)7-9-5-3-1-2-4-6(5)12-7/h1-4H,(H2,8,10,11)",,H19,7.8
C87199164,(3-formylphenyl)boronic acid,"InChI=1S/C7H7BO3/c9-5-6-2-1-3-7(4-6)8(10)11/h1-5,10-11H",25,H18,7.8
C119346,4-amino-2-nitrophenol,"InChI=1S/C6H6N2O3/c7-4-1-2-6(9)5(3-4)8(10)11/h1-3,9H,7H2",25,H17,7.81
C77298647,8-hydroxy-2-phenylchromen-4-one,"InChI=1S/C15H10O3/c16-12-8-4-7-11-13(17)9-14(18-15(11)12)10-5-2-1-3-6-10/h1-9,16H",23,H28,7.82
C123712787,5-hydroxy-2-(hydroxymethyl)pyran-4-one,"InChI=1S/C6H6O4/c7-2-4-1-5(8)6(9)3-10-4/h1,3,7,9H,2H2",22,H16,7.82
C14763601,4-methylsulfonylphenol,"InChI=1S/C7H8O3S/c1-11(9,10)7-4-2-6(8)3-5-7/h2-5,8H,1H3",25,H19,7.83
C6197280,2-(2-phenylethylamino)ethanethiol,"InChI=1S/C10H15NS/c12-9-8-11-7-6-10-4-2-1-3-5-10/h1-5,11-12H,6-9H2",25,H27,7.85
C1570656,"2,4-dichloro-6-methylphenol","InChI=1S/C7H6Cl2O/c1-4-2-5(8)3-6(9)7(4)10/h2-3,10H,1H3",25,H16,7.85
C18274812,5-(4-hydroxyphenyl)dithiole-3-thione,"InChI=1S/C9H6OS3/c10-7-3-1-6(2-4-7)8-5-9(11)13-12-8/h1-5,10H",,H19,7.86
C304881,N-hydroxy-N-phenylbenzamide,"InChI=1S/C13H11NO2/c15-13(11-7-3-1-4-8-11)14(16)12-9-5-2-6-10-12/h1-10,16H",26,H27,7.87
C599815,4-amino-N-pyridin-3-ylbenzenesulfonamide,"InChI=1S/C11H11N3O2S/c12-9-3-5-11(6-4-9)17(15,16)14-10-2-1-7-13-8-10/h1-8,14H,12H2",,H18,7.89
C98488756,"N,N-dimethyl-7H-purine-6-carboxamide","InChI=1S/C8H9N5O/c1-13(2)8(14)6-5-7(11-3-9-5)12-4-10-6/h3-4H,1-2H3,(H,9,10,11,12)",,H15,7.9
C4750281,N-(4-chlorophenyl)benzenesulfonamide,"InChI=1S/C12H10ClNO2S/c13-10-6-8-11(9-7-10)14-17(15,16)12-4-2-1-3-5-12/h1-9,14H",23,H18,7.91
C148538,2-hydroxy-3-methoxybenzaldehyde,"InChI=1S/C8H8O3/c1-11-7-4-2-3-6(5-9)8(7)10/h2-5,10H,1H3",25,H19,7.91
C680148,"2,2,3,3,3-pentafluoropropanehydrazide","InChI=1S/C3H3F5N2O/c4-2(5,1(11)10-9)3(6,7)8/h9H2,(H,10,11)",25,H12,7.92
C5891076,2-(propylamino)ethanethiol,"InChI=1S/C5H13NS/c1-2-3-6-4-5-7/h6-7H,2-5H2,1H3",25,H20,7.92
C1613770,N-hydroxy-N-methyl-4-nitrobenzamide,"InChI=1S/C8H8N2O4/c1-9(12)8(11)6-2-4-7(5-3-6)10(13)14/h2-5,12H,1H3",27,H22,7.92
C1004724,"2-hydroxy-3-methylcyclohepta-2,4,6-trien-1-one","InChI=1S/C8H8O2/c1-6-4-2-3-5-7(9)8(6)10/h2-5H,1H3,(H,9,10)",25,H18,7.92
C22865276,N-(3-methoxyphenyl)benzenesulfonamide,"InChI=1S/C13H13NO3S/c1-17-12-7-5-6-11(10-12)14-18(15,16)13-8-3-2-4-9-13/h2-10,14H,1H3",25,H19,7.95
C20939155,"4-amino-3-methyl-1H-1,2,4-triazole-5-thione","InChI=1S/C3H6N4S/c1-2-5-6-3(8)7(2)4/h4H2,1H3,(H,6,8)",30,H12,7.97
C16002178,"4-methoxy-2-[(4-methyl-1,3-thiazol-2-yl)diazenyl]phenol","InChI=1S/C11H11N3O2S/c1-7-6-17-11(12-7)14-13-9-5-8(16-2)3-4-10(9)15/h3-6,15H,1-2H3",,H28,7.98
C90197630,"5-tert-butyl-1,3-diazinane-2,4,6-trione","InChI=1S/C8H12N2O3/c1-8(2,3)4-5(11)9-7(13)10-6(4)12/h4H,1-3H3,(H2,9,10,11,12,13)",25,H14,7.98
C65425629,"2-hydroxy-3-methoxycyclohepta-2,4,6-trien-1-one","InChI=1S/C8H8O3/c1-11-7-5-3-2-4-6(9)8(7)10/h2-5H,1H3,(H,9,10)",25,H19,8.0
C1137424,(4-hydroxyphenyl)-phenylmethanone,"InChI=1S/C13H10O2/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9,14H",25,H25,8.01
C626415,"3,5-dibromophenol","InChI=1S/C6H4Br2O/c7-4-1-5(8)3-6(9)2-4/h1-3,9H",,H13,8.01
C4390107,2-(methylamino)ethanethiol,"InChI=1S/C3H9NS/c1-4-2-3-5/h4-5H,2-3H2,1H3",25,H14,8.02
C1515055,"2,2,3,3,4,4,4-heptafluorobutanehydrazide","InChI=1S/C4H3F7N2O/c5-2(6,1(14)13-12)3(7,8)4(9,10)11/h12H2,(H,13,14)",25,H15,8.02
C1613769,N-hydroxy-4-nitrobenzamide,"InChI=1S/C7H6N2O4/c10-7(8-11)5-1-3-6(4-2-5)9(12)13/h1-4,11H,(H,8,10)",25,H19,8.02
C54828001,4-chloro-2-[(dimethylamino)methyl]phenol,"InChI=1S/C9H12ClNO/c1-11(2)6-7-5-8(10)3-4-9(7)12/h3-5,12H,6H2,1-2H3",25,H24,8.02
C1862880,2-hydroxy-N-methylbenzamide,"InChI=1S/C8H9NO2/c1-9-8(11)6-4-2-3-5-7(6)10/h2-5,10H,1H3,(H,9,11)",25,H20,8.03
C580187,quinolin-3-ol,"InChI=1S/C9H7NO/c11-8-5-7-3-1-2-4-9(7)10-6-8/h1-6,11H",20,H18,8.06
C591355,"3,5-dichlorophenol","InChI=1S/C6H4Cl2O/c7-4-1-5(8)3-6(9)2-4/h1-3,9H",25,H13,8.07
C7335344,N-hydroxy-3-nitrobenzamide,"InChI=1S/C7H6N2O4/c10-7(8-11)5-2-1-3-6(4-5)9(12)13/h1-4,11H,(H,8,10)",25,H19,8.07
C5842079,2-[di(propan-2-yl)amino]ethanethiol,"InChI=1S/C8H19NS/c1-7(2)9(5-6-10)8(3)4/h7-8,10H,5-6H2,1-4H3",17,H29,8.08
C1849496,"3-hydroxy-2,5-dimethylpyridine-4-carbaldehyde","InChI=1S/C8H9NO2/c1-5-3-9-6(2)8(11)7(5)4-10/h3-4,11H,1-2H3",25,H20,8.08
C500856,"4-(4-hydroxyphenyl)iminocyclohexa-2,5-dien-1-one","InChI=1S/C12H9NO2/c14-11-5-1-9(2-6-11)13-10-3-7-12(15)8-4-10/h1-8,14H",30,H24,8.1
C20484337,4-chloro-2-(diethylaminomethyl)phenol,"InChI=1S/C11H16ClNO/c1-3-13(4-2)8-9-7-10(12)5-6-11(9)14/h5-7,14H,3-4,8H2,1-2H3",25,H30,8.11
C46049916,2-[(dimethylamino)methyl]-4-fluorophenol,"InChI=1S/C9H12FNO/c1-11(2)6-7-5-8(10)3-4-9(7)12/h3-5,12H,6H2,1-2H3",25,H24,8.12
C7556936,quinazolin-6-ol,"InChI=1S/C8H6N2O/c11-7-1-2-8-6(3-7)4-9-5-10-8/h1-5,11H",20,H17,8.19
C1212073,N-pyridin-2-ylbenzenesulfonamide,"InChI=1S/C11H10N2O2S/c14-16(15,10-6-2-1-3-7-10)13-11-8-4-5-9-12-11/h1-9H,(H,12,13)",20,H17,8.2
C3699170,N-bromopropanamide,"InChI=1S/C3H6BrNO/c1-2-3(6)5-4/h2H2,1H3,(H,5,6)",21,H12,8.2
C58537998,"4-hydroxy-2,6-dimethylbenzonitrile","InChI=1S/C9H9NO/c1-6-3-8(11)4-7(2)9(6)5-10/h3-4,11H,1-2H3",25,H20,8.21
C150667280,N-phenylbenzenesulfonamide,"InChI=1S/C12H11NO2S/c14-16(15,12-9-5-2-6-10-12)13-11-7-3-1-4-8-11/h1-10,13H",23,H17,8.22
C758087,2-sulfanylacetamide,"InChI=1S/C2H5NOS/c3-2(4)1-5/h5H,1H2,(H2,3,4)",25,H10,8.22
C113411248,"1,3-thiazole-2-sulfonamide","InChI=1S/C3H4N2O2S2/c4-9(6,7)3-5-1-2-8-3/h1-2H,(H2,4,6,7)",,H11,8.25
C118489,"1H-3,1-benzoxazine-2,4-dione","InChI=1S/C8H5NO3/c10-7-5-3-1-2-4-6(5)9-8(11)12-7/h1-4H,(H,9,11)",25,H14,8.25
C17056950,cinnolin-8-ol,"InChI=1S/C8H6N2O/c11-7-3-1-2-6-4-5-9-10-8(6)7/h1-5,11H",20,H17,8.25
C2373344,5-hydroxy-4-methylchromen-2-one,"InChI=1S/C10H8O3/c1-6-5-9(12)13-8-4-2-3-7(11)10(6)8/h2-5,11H,1H3",25,H21,8.26
C4143639,2-(4-hydroxyphenyl)chromen-4-one,"InChI=1S/C15H10O3/c16-11-7-5-10(6-8-11)15-9-13(17)12-3-1-2-4-14(12)18-15/h1-9,16H",22,H28,8.27
C133430714,5-(4-hydroxyphenyl)dithiol-3-one,"InChI=1S/C9H6O2S2/c10-7-3-1-6(2-4-7)8-5-9(11)13-12-8/h1-5,10H",,H19,8.27
C14763645,4-methylsulfinylphenol,"InChI=1S/C7H8O2S/c1-10(9)7-4-2-6(8)3-5-7/h2-5,8H,1H3",25,H18,8.28
C69684839,"6-fluorospiro[2,3-dihydrochromene-4,5'-imidazolidine]-2',4'-dione","InChI=1S/C11H9FN2O3/c12-6-1-2-8-7(5-6)11(3-4-17-8)9(15)13-10(16)14-11/h1-2,5H,3-4H2,(H2,13,14,15,16)",23,H23,8.3
C94188,benzyl 4-hydroxybenzoate,"InChI=1S/C14H12O3/c15-13-8-6-12(7-9-13)14(16)17-10-11-4-2-1-3-5-11/h1-9,15H,10H2",25,H29,8.31
C554847,3-nitrophenol,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H",24,H15,8.31
C17057000,"1,6-naphthyridin-8-ol","InChI=1S/C8H6N2O/c11-7-5-9-4-6-2-1-3-10-8(6)7/h1-5,11H",20,H17,8.33
C94268,butyl 4-hydroxybenzoate,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",25,H28,8.34
C99763,methyl 4-hydroxybenzoate,"InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3",25,H19,8.34
C113411237,"4-methyl-1,3-thiazole-2-sulfonamide","InChI=1S/C4H6N2O2S2/c1-3-2-9-4(6-3)10(5,7)8/h2H,1H3,(H2,5,7,8)",,H16,8.35
C60231,2-aminoethanethiol,"InChI=1S/C2H7NS/c3-1-2-4/h4H,1-3H2",24,H11,8.4
C32762519,2-bromophenol,"InChI=1S/C6H5BrO/c7-5-3-1-2-4-6(5)8/h1-4,8H",25,H13,8.4
